id,group,component,label,accuracy,precision,recall,f1,roc_auc,pr_auc,mcc,balanced_accuracy,f1_ci_lo,f1_ci_hi,params,size_kb,train_s,latency_ms,delta_f1
E12_dim_128,capacity,Embedding size,Embedding dim = 128,0.98,0.475,0.7808219178082192,0.5906735751295336,0.9370082078715006,0.6959945072586649,0.599981481912046,0.8822861201112284,0.5090838509316771,0.6764742464149839,291173,1137.4,59.8,0.0542,-0.14321594801088944
E06_latent_32,capacity,Latent dim,Latent dim = 32,0.9764556962025317,0.421875,0.7397260273972602,0.5373134328358209,0.919737404644885,0.6683052801130445,0.5481214894757941,0.860319552259373,0.45660031689443453,0.6187042818911687,115189,450.0,41.17,0.033,-0.08985580571717677
E05_no_attention,architecture,Self-attention,Attention -> token-wise FFN,0.9736708860759493,0.3959731543624161,0.8082191780821918,0.5315315315315315,0.964193469742528,0.6555487223104449,0.5549321415304083,0.8925026764798372,0.4476782752902156,0.6202355783751132,46565,181.9,18.48,0.013,-0.08407390441288742
E02_dense_encoder,architecture,Transformer encoder,Dense encoder (no Transformer),0.9736708860759493,0.3959731543624161,0.8082191780821918,0.5315315315315315,0.964193469742528,0.6555487223104449,0.5549321415304083,0.8925026764798372,0.4476782752902156,0.6202355783751132,46565,181.9,14.29,0.0102,-0.08407390441288742
E15_lr_0.001,training,Learning rate,LR = 0.001,0.9693670886075949,0.36363636363636365,0.8767123287671232,0.5140562248995983,0.9734648665646719,0.660028195716003,0.5534237104095019,0.9239120065295507,0.43147650170071056,0.5965235968149155,113125,441.9,66.46,0.0628,-0.06659859778095423
E16_opt_sgd,training,Optimizer,Optimizer = sgd,0.9744303797468354,0.38524590163934425,0.6438356164383562,0.48205128205128206,0.9381353327138269,0.33891032797606563,0.4861490809802952,0.8122453810847958,0.3675675675675676,0.5561220625904889,113125,441.9,58.25,0.0447,-0.03459365493263794
E08_thr_mad,threshold,Threshold strategy,Threshold = mad,0.9632911392405064,0.3235294117647059,0.9041095890410958,0.47653429602888087,0.9749170556248477,0.5253246845680078,0.5285519901552399,0.9342575285932846,0.408033810539141,0.5436475892268575,113125,441.9,0.0,0.0282,-0.029076668910236747
E12_dim_32,capacity,Embedding size,Embedding dim = 32,0.9640506329113924,0.3248730964467005,0.8767123287671232,0.47407407407407404,0.9709067525024645,0.4640092976290684,0.5212056755702722,0.9212037269319238,0.3906154725609756,0.5456002331002331,48677,190.1,31.07,0.0228,-0.026616446955429918
E19_act_leaky_relu,training,Activation,Activation = leaky_relu,0.9607594936708861,0.30660377358490565,0.8904109589041096,0.45614035087719296,0.9753763854978958,0.5225080262912397,0.509464133320725,0.9262475222686656,0.3795591587086351,0.5256498470948011,113125,441.9,47.14,0.0327,-0.008682723758548838
E19_act_relu,training,Activation,Activation = relu,0.9612658227848101,0.3076923076923077,0.8767123287671232,0.4555160142348754,0.9755212510732418,0.5212305679605826,0.5062706970139228,0.9197851042855477,0.38280394048804783,0.5285970182465509,113125,441.9,50.49,0.0568,-0.008058387116231303
