timestamp,meter_id,zone,type,consommation_kw,tension_v,courant_a,facteur_puissance,frequence_hz,statut,anomalies
2026-05-11 17:43:00,SM_0001,Zone C,residentiel,2.45,231.46,11.299,0.937,61.22,ALERTE,frequency_deviation
2026-05-11 17:43:00,SM_0002,Zone A,industriel,35.745,226.54,169.769,0.929,59.86,NORMAL,none
2026-05-11 17:43:00,SM_0003,Zone B,industriel,12.637,228.92,57.782,0.955,60.15,NORMAL,none
2026-05-11 17:43:00,SM_0004,Zone A,commercial,4.219,220.12,19.98,0.959,59.94,NORMAL,none
2026-05-11 17:43:00,SM_0005,Zone C,industriel,13.376,238.56,57.263,0.979,59.78,NORMAL,none
2026-05-11 17:43:00,SM_0006,Zone A,residentiel,3.642,233.89,16.455,0.946,60.38,NORMAL,none
2026-05-11 17:43:00,SM_0007,Zone A,residentiel,0.647,225.78,3.193,0.898,60.17,NORMAL,none
2026-05-11 17:43:00,SM_0008,Zone C,residentiel,4.994,238.91,23.673,0.883,60.15,NORMAL,none
2026-05-11 17:43:00,SM_0009,Zone D,commercial,5.23,237.98,48.043,0.457,59.83,ALERTE,power_factor_low
2026-05-11 17:43:00,SM_0010,Zone C,residentiel,3.261,231.59,15.849,0.889,59.56,NORMAL,none
2026-05-11 17:43:00,SM_0011,Zone A,residentiel,0.842,236.61,3.789,0.939,59.83,NORMAL,none
2026-05-11 17:43:00,SM_0012,Zone B,commercial,3.869,254.24,16.939,0.898,59.75,ALERTE,voltage_high
2026-05-11 17:43:00,SM_0013,Zone C,industriel,21.794,235.84,94.86,0.974,59.57,NORMAL,none
2026-05-11 17:43:00,SM_0014,Zone A,industriel,10.427,239.55,48.31,0.901,60.45,NORMAL,none
2026-05-11 17:43:00,SM_0015,Zone C,commercial,7.36,224.21,36.675,0.895,59.85,NORMAL,none
2026-05-11 17:43:00,SM_0016,Zone C,residentiel,15.536,263.94,80.259,0.733,59.75,ALERTE,combined
2026-05-11 17:43:00,SM_0017,Zone C,commercial,4.239,222.81,20.323,0.936,60.24,NORMAL,none
2026-05-11 17:43:00,SM_0018,Zone A,commercial,3.411,229.15,15.682,0.949,59.74,NORMAL,none
2026-05-11 17:43:00,SM_0019,Zone B,industriel,17.298,264.59,71.038,0.92,59.64,ALERTE,voltage_high
2026-05-11 17:43:00,SM_0020,Zone B,commercial,4.787,197.13,24.814,0.979,60.12,ALERTE,voltage_low
2026-05-11 17:43:00,SM_0021,Zone D,commercial,6.129,220.12,31.63,0.88,59.58,NORMAL,none
2026-05-11 17:43:00,SM_0022,Zone B,commercial,18.257,253.6,121.862,0.591,59.74,ALERTE,combined
2026-05-11 17:43:00,SM_0023,Zone C,industriel,11.493,238.83,51.185,0.94,59.71,NORMAL,none
2026-05-11 17:43:00,SM_0024,Zone A,commercial,8.609,222.08,40.272,0.963,59.71,NORMAL,none
2026-05-11 17:43:00,SM_0025,Zone A,industriel,80.218,256.75,683.447,0.457,59.7,ALERTE,combined
2026-05-11 17:43:00,SM_0026,Zone B,residentiel,1.521,225.29,7.768,0.869,59.76,NORMAL,none
2026-05-11 17:43:00,SM_0027,Zone D,residentiel,0.792,231.41,3.77,0.907,60.45,NORMAL,none
2026-05-11 17:43:00,SM_0028,Zone C,commercial,3.405,233.34,16.212,0.9,60.32,NORMAL,none
2026-05-11 17:43:00,SM_0029,Zone A,residentiel,0.6,231.88,2.653,0.975,60.28,NORMAL,none
2026-05-11 17:43:00,SM_0030,Zone A,residentiel,3.468,225.88,43.934,0.349,60.27,ALERTE,power_factor_low
2026-05-11 17:43:00,SM_0031,Zone A,commercial,11.167,184.66,65.631,0.921,60.29,ALERTE,voltage_low
2026-05-11 17:43:00,SM_0032,Zone C,industriel,88.834,261.96,827.965,0.41,60.2,ALERTE,combined
2026-05-11 17:43:00,SM_0033,Zone D,commercial,9.339,229.41,47.489,0.857,60.2,NORMAL,none
2026-05-11 17:43:00,SM_0034,Zone C,industriel,11.444,235.74,55.266,0.878,60.88,ALERTE,frequency_deviation
2026-05-11 17:43:00,SM_0035,Zone A,commercial,9.809,225.0,46.143,0.945,60.15,NORMAL,none
2026-05-11 17:43:00,SM_0036,Zone C,commercial,7.795,224.33,83.293,0.417,60.38,ALERTE,power_factor_low
2026-05-11 17:43:00,SM_0037,Zone D,commercial,8.651,238.78,41.262,0.878,60.37,NORMAL,none
2026-05-11 17:43:00,SM_0038,Zone D,residentiel,4.567,229.31,60.155,0.331,60.39,ALERTE,power_factor_low
2026-05-11 17:43:00,SM_0039,Zone D,commercial,6.727,225.2,31.348,0.953,59.56,NORMAL,none
2026-05-11 17:43:00,SM_0040,Zone A,residentiel,3.365,231.12,16.222,0.898,60.48,NORMAL,none
2026-05-11 17:43:00,SM_0041,Zone A,residentiel,1.385,234.29,6.043,0.978,60.6,ALERTE,frequency_deviation
2026-05-11 17:43:00,SM_0042,Zone D,industriel,18.222,225.27,89.527,0.904,59.54,NORMAL,none
2026-05-11 17:43:00,SM_0043,Zone B,industriel,33.205,227.9,165.011,0.883,59.71,NORMAL,none
2026-05-11 17:43:00,SM_0044,Zone A,residentiel,1.329,221.19,6.988,0.86,59.91,NORMAL,none
