subsystem,min,max,mean,p50,p90,p95,p99,n,errors
Simulator generation,0.035,0.151,0.038,0.037,0.038,0.039,0.052,500,
Blockchain ingest (1 record),0.024,0.09,0.027,0.025,0.033,0.034,0.044,500,
"ML inference (ensemble, full pipeline)",250.965,340.283,275.283,274.338,286.956,301.086,319.891,300,
REST /health,1.158,25.788,2.944,1.259,1.626,8.93,22.417,15,0.0
REST /health/ready,1.162,2.168,1.48,1.341,1.98,2.04,2.142,15,0.0
REST /health/detailed,107.081,119.748,109.587,108.829,110.968,113.988,118.596,15,0.0
REST /api/blockchain/status,1.234,1.77,1.372,1.302,1.542,1.638,1.744,15,0.0
REST /api/model/status,1.972,3.039,2.305,2.109,2.813,2.915,3.015,15,0.0
REST /dashboard,2.012,2.918,2.25,2.197,2.426,2.584,2.851,15,0.0
REST /support.js,1.685,2.243,1.978,1.945,2.197,2.227,2.24,15,0.0
